"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Project\AdminPanel\admin-pannel\.eslintrc.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 16, 39
"d:\Project\AdminPanel\admin-pannel\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\Project\AdminPanel\admin-pannel\next.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 2, 7
"d:\Project\AdminPanel\admin-pannel\package-lock.json", "JSON", 0, 0, 0, 0, 6305, 0, 0, 1, 6306
"d:\Project\AdminPanel\admin-pannel\package.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 1, 48
"d:\Project\AdminPanel\admin-pannel\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\Project\AdminPanel\admin-pannel\public\assets\images\0.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\4.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\Exit.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\NewSignIn.svg", "XML", 0, 0, 612, 0, 0, 0, 0, 1, 613
"d:\Project\AdminPanel\admin-pannel\public\assets\images\blackSignOut.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\blueExit.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\breadCrumbsDirection.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\calendar.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\AdminPanel\admin-pannel\public\assets\images\callServices.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\changePass.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\down.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\edit.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\AdminPanel\admin-pannel\public\assets\images\financialReports.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Project\AdminPanel\admin-pannel\public\assets\images\grayUploadFile.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\AdminPanel\admin-pannel\public\assets\images\loginReports.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\AdminPanel\admin-pannel\public\assets\images\magnifier.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\Project\AdminPanel\admin-pannel\public\assets\images\multiple.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\noTickets.svg", "XML", 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\Project\AdminPanel\admin-pannel\public\assets\images\operationDots.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\AdminPanel\admin-pannel\public\assets\images\operationDotsTablet.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\AdminPanel\admin-pannel\public\assets\images\personalInfo.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\AdminPanel\admin-pannel\public\assets\images\plus.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\AdminPanel\admin-pannel\public\assets\images\ramzNegarCompleteLogo.svg", "XML", 0, 0, 50, 0, 0, 0, 0, 1, 51
"d:\Project\AdminPanel\admin-pannel\public\assets\images\ramzNegarLogo.svg", "XML", 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Project\AdminPanel\admin-pannel\public\assets\images\search.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\sendTicket.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\servicesManagement.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\AdminPanel\admin-pannel\public\assets\images\servicesSubOperation.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\AdminPanel\admin-pannel\public\assets\images\tickets.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\AdminPanel\admin-pannel\public\assets\images\upload.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\uploadFile.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\AdminPanel\admin-pannel\public\assets\images\userManagement.svg", "XML", 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Project\AdminPanel\admin-pannel\public\assets\images\whiteEdit.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\whiteSendTicket.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\public\assets\images\yellowEdit.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\AdminPanel\admin-pannel\server.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"d:\Project\AdminPanel\admin-pannel\src\common\Input.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 2, 42
"d:\Project\AdminPanel\admin-pannel\src\common\SearchForm.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 2, 36
"d:\Project\AdminPanel\admin-pannel\src\components\Accordion\Accordion.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 2, 137
"d:\Project\AdminPanel\admin-pannel\src\components\ResetPasswordForm\ResetPasswordForm.js", "JavaScript", 0, 175, 0, 0, 0, 0, 0, 3, 178
