Date : 2024-03-02 10:52:56
Directory : d:\Project\AdminPanel\admin-pannel
Total : 146 files,  21391 codes, 157 comments, 395 blanks, all 21943 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        105 |     13,999 |        138 |        324 |     14,461 |
| JSON               |          3 |      6,355 |          0 |          3 |      6,358 |
| XML                |         35 |        854 |          0 |         35 |        889 |
| CSS                |          1 |        152 |         19 |         16 |        187 |
| Markdown           |          1 |         23 |          0 |         16 |         39 |
| JSON with Comments |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                      |        146 |     21,391 |        157 |        395 |     21,943 |
| . (Files)                                                                                                                                                              |          9 |      6,489 |          6 |         29 |      6,524 |
| public                                                                                                                                                                 |         35 |        854 |          0 |         35 |        889 |
| public\assets                                                                                                                                                          |         35 |        854 |          0 |         35 |        889 |
| public\assets\images                                                                                                                                                   |         35 |        854 |          0 |         35 |        889 |
| src                                                                                                                                                                    |        100 |     13,891 |        132 |        314 |     14,337 |
| src\common                                                                                                                                                             |          2 |         74 |          0 |          4 |         78 |
| src\components                                                                                                                                                         |         62 |      9,430 |         56 |        182 |      9,668 |
| src\components\Accordion                                                                                                                                               |          1 |        135 |          0 |          2 |        137 |
| src\components\ResetPasswordForm                                                                                                                                       |          1 |        175 |          0 |          3 |        178 |
| src\components\adminUser                                                                                                                                               |          5 |        638 |          0 |         16 |        654 |
| src\components\adminUser\ChangePassword                                                                                                                                |          3 |        455 |          0 |         12 |        467 |
| src\components\adminUser\adminUserInfoDetails                                                                                                                          |          1 |        118 |          0 |          2 |        120 |
| src\components\adminUser\signOut                                                                                                                                       |          1 |         65 |          0 |          2 |         67 |
| src\components\callServices                                                                                                                                            |          4 |        612 |         16 |         11 |        639 |
| src\components\card                                                                                                                                                    |          3 |        336 |          0 |          6 |        342 |
| src\components\card\keys                                                                                                                                               |          3 |        336 |          0 |          6 |        342 |
| src\components\financial                                                                                                                                               |          8 |      1,209 |         23 |         42 |      1,274 |
| src\components\financial\accumulativeFinancialReports                                                                                                                  |          1 |        280 |         19 |         21 |        320 |
| src\components\financial\financialReports                                                                                                                              |          4 |        558 |          4 |         12 |        574 |
| src\components\financial\increaseCustomerCredit                                                                                                                        |          3 |        371 |          0 |          9 |        380 |
| src\components\loginReports                                                                                                                                            |          1 |         80 |          0 |          2 |         82 |
| src\components\servicesManagement                                                                                                                                      |         19 |      3,458 |          0 |         52 |      3,510 |
| src\components\servicesManagement (Files)                                                                                                                              |          3 |        465 |          0 |          6 |        471 |
| src\components\servicesManagement\addService                                                                                                                           |          2 |        361 |          0 |          6 |        367 |
| src\components\servicesManagement\addServiceGroup                                                                                                                      |          2 |        374 |          0 |          6 |        380 |
| src\components\servicesManagement\beneficiaries                                                                                                                        |          4 |        552 |          0 |         11 |        563 |
| src\components\servicesManagement\beneficiaries (Files)                                                                                                                |          3 |        433 |          0 |          8 |        441 |
| src\components\servicesManagement\beneficiaries\addNewBeneficiaries                                                                                                    |          1 |        119 |          0 |          3 |        122 |
| src\components\servicesManagement\editService                                                                                                                          |          2 |        546 |          0 |          7 |        553 |
| src\components\servicesManagement\editServiceGroup                                                                                                                     |          2 |        406 |          0 |          6 |        412 |
| src\components\servicesManagement\serviceGroupDetails                                                                                                                  |          4 |        754 |          0 |         10 |        764 |
| src\components\servicesManagement\serviceGroupDetails (Files)                                                                                                          |          3 |        607 |          0 |          7 |        614 |
| src\components\servicesManagement\serviceGroupDetails\FileUploadModal                                                                                                  |          1 |        147 |          0 |          3 |        150 |
| src\components\signInForm                                                                                                                                              |          1 |        261 |          0 |          5 |        266 |
| src\components\tickets                                                                                                                                                 |          1 |        206 |          1 |          2 |        209 |
| src\components\userManagement                                                                                                                                          |         18 |      2,320 |         16 |         41 |      2,377 |
| src\components\userManagement\NewRequests                                                                                                                              |          7 |        906 |          0 |         17 |        923 |
| src\components\userManagement\NewRequests (Files)                                                                                                                      |          3 |        352 |          0 |          6 |        358 |
| src\components\userManagement\NewRequests\newRequestDetails                                                                                                            |          4 |        554 |          0 |         11 |        565 |
| src\components\userManagement\NewRequests\newRequestDetails (Files)                                                                                                    |          2 |        330 |          0 |          6 |        336 |
| src\components\userManagement\NewRequests\newRequestDetails\checkNewRequest                                                                                            |          2 |        224 |          0 |          5 |        229 |
| src\components\userManagement\ShowUser                                                                                                                                 |         11 |      1,414 |         16 |         24 |      1,454 |
| src\components\userManagement\ShowUser\ShowUser                                                                                                                        |          4 |        464 |          0 |          8 |        472 |
| src\components\userManagement\ShowUser\userInfoDetail                                                                                                                  |          2 |        281 |         16 |          5 |        302 |
| src\components\userManagement\ShowUser\userServices                                                                                                                    |          5 |        669 |          0 |         11 |        680 |
| src\components\userManagement\ShowUser\userServices (Files)                                                                                                            |          3 |        401 |          0 |          6 |        407 |
| src\components\userManagement\ShowUser\userServices\updateUserService                                                                                                  |          2 |        268 |          0 |          5 |        273 |
| src\container                                                                                                                                                          |          5 |        750 |          0 |         13 |        763 |
| src\container\layout                                                                                                                                                   |          5 |        750 |          0 |         13 |        763 |
| src\container\layout (Files)                                                                                                                                           |          1 |         44 |          0 |          2 |         46 |
| src\container\layout\DesktopLayout                                                                                                                                     |          2 |        355 |          0 |          5 |        360 |
| src\container\layout\MobileAndTabletLayout                                                                                                                             |          2 |        351 |          0 |          6 |        357 |
| src\pages                                                                                                                                                              |         30 |      3,055 |          8 |        102 |      3,165 |
| src\pages (Files)                                                                                                                                                      |          4 |        127 |          2 |         13 |        142 |
| src\pages\adminPanel                                                                                                                                                   |         25 |      2,925 |          5 |         87 |      3,017 |
| src\pages\adminPanel\adminUser                                                                                                                                         |          2 |         94 |          0 |          6 |        100 |
| src\pages\adminPanel\adminUser\changePassword                                                                                                                          |          1 |         78 |          0 |          3 |         81 |
| src\pages\adminPanel\adminUser\resetPassword                                                                                                                           |          1 |         16 |          0 |          3 |         19 |
| src\pages\adminPanel\callServices                                                                                                                                      |          1 |        137 |          0 |          3 |        140 |
| src\pages\adminPanel\card                                                                                                                                              |          2 |         89 |          0 |          6 |         95 |
| src\pages\adminPanel\card\devices                                                                                                                                      |          1 |          8 |          0 |          2 |         10 |
